query_id	term	stem	removestop	sim	termweights	rank	retrieved_docID	title	relevant?
6	tfidf	False	True	cosine	3,3,4,1	1	1543	computer formulation of the equations of motion using tensor notation	True
6	tfidf	False	True	cosine	3,3,4,1	2	2828	hierarchical geometric models for visible surface algorithms	True
6	tfidf	False	True	cosine	3,3,4,1	3	2826	interactive skeleton techniques for enhancing motion dynamics in key frame animation	False
6	tfidf	False	True	cosine	3,3,4,1	4	2389	preliminary report on a system for general space planning	False
6	tfidf	False	True	cosine	3,3,4,1	5	242	notes on geometric weighted check digit verification	False
6	tfidf	False	True	cosine	3,3,4,1	6	3035	a strategic planning methodology for the computing effort in higher education : an empirical evaluation	False
6	tfidf	False	True	cosine	3,3,4,1	7	2187	computer science : a conceptual framework for curriculum planning	False
6	tfidf	False	True	cosine	3,3,4,1	8	2230	a language for treating geometric patterns in a two-dimensional space	False
6	tfidf	False	True	cosine	3,3,4,1	9	2753	a heuristic problem solving design system for equipment or furniture layouts	False
6	tfidf	False	True	cosine	3,3,4,1	10	2721	the digital simulation of river plankton population dynamics	False
6	tfidf	False	True	cosine	3,3,4,1	11	1186	recursive solution of a class of combinatorial problems : an example	False
6	tfidf	False	True	cosine	3,3,4,1	12	2671	a note on a combinatorial problem of burnett and coffman	False
6	tfidf	False	True	cosine	3,3,4,1	13	1009	solution of combinatorial problems using generating functions on a variable-field computer	False
6	tfidf	False	True	cosine	3,3,4,1	14	530	a computer method for radiation treatment planning	False
6	tfidf	False	True	cosine	3,3,4,1	15	705	combinatorial of m things taken n at a time ( algorithm 160 )	False
6	tfidf	False	True	cosine	3,3,4,1	16	704	combinatorial of m things taken one at a time two at a time , up to n at a time ( algorithm 161 )	False
6	tfidf	False	True	cosine	3,3,4,1	17	888	algorithm 160 combinatorial of m things taken n at a time	False
6	tfidf	False	True	cosine	3,3,4,1	18	2087	a number system for the permutations	False
6	tfidf	False	True	cosine	3,3,4,1	19	695	use of the disk file on stretch	False
6	tfidf	False	True	cosine	3,3,4,1	20	1014	machine controls for analysis of variance	False
9	tfidf	False	True	cosine	3,3,4,1	1	2949	a correctness proof of a topology information main tenance protocol for a distributed computer network	False
9	tfidf	False	True	cosine	3,3,4,1	2	3068	a model for verification of data security in operating systems	True
9	tfidf	False	True	cosine	3,3,4,1	3	2372	on the implementation of security measures in information systems	True
9	tfidf	False	True	cosine	3,3,4,1	4	3082	time , clocks , and the ordering of events in a distributed system	False
9	tfidf	False	True	cosine	3,3,4,1	5	3174	password security : a case history	False
9	tfidf	False	True	cosine	3,3,4,1	6	1685	gan , a system for generating and analyzing activity networks	False
9	tfidf	False	True	cosine	3,3,4,1	7	2621	a high security log-in procedure	False
9	tfidf	False	True	cosine	3,3,4,1	8	2849	ethernet : distributed packet switching for local computer networks	False
9	tfidf	False	True	cosine	3,3,4,1	9	3137	a methodology for the design of distributed information systems	False
9	tfidf	False	True	cosine	3,3,4,1	10	2969	optimal program and data locations in computer networks	False
9	tfidf	False	True	cosine	3,3,4,1	11	2776	computer networks in higher education : socio-economic-political factors	False
9	tfidf	False	True	cosine	3,3,4,1	12	3148	high level programming for distributed computing	False
9	tfidf	False	True	cosine	3,3,4,1	13	3158	secure personal computing in an insecure network	True
9	tfidf	False	True	cosine	3,3,4,1	14	1750	considerations in the design of a multiple computer system with extended core storage	False
9	tfidf	False	True	cosine	3,3,4,1	15	3111	secure communications over insecure channels	True
9	tfidf	False	True	cosine	3,3,4,1	16	2614	arrow to precedence network transformation [ h ] ( algorithm a481 )	False
9	tfidf	False	True	cosine	3,3,4,1	17	2900	some theorems to aid in solving the file allocation problem	False
9	tfidf	False	True	cosine	3,3,4,1	18	1461	discussion summary on operating systems	False
9	tfidf	False	True	cosine	3,3,4,1	19	2578	self-stabilizing systems in spite of distributed control	False
9	tfidf	False	True	cosine	3,3,4,1	20	2870	a lattice model of secure information flow	True
22	tfidf	False	True	cosine	3,3,4,1	1	266	fitting spheres by the method of least squares	False
22	tfidf	False	True	cosine	3,3,4,1	2	87	a note on a method for generating points uniformly on n-dimensional spheres	False
22	tfidf	False	True	cosine	3,3,4,1	3	2473	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	False	True	cosine	3,3,4,1	4	2384	hidden-line plotting program [ j6 ] ( algorithm a420 )	True
22	tfidf	False	True	cosine	3,3,4,1	5	2913	the aliasing problem in computer-generated shaded images	False
22	tfidf	False	True	cosine	3,3,4,1	6	2441	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	False	True	cosine	3,3,4,1	7	2638	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	False	True	cosine	3,3,4,1	8	2564	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	False	True	cosine	3,3,4,1	9	2637	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	False	True	cosine	3,3,4,1	10	1978	the use of interactive graphics to solve numerical problems	False
22	tfidf	False	True	cosine	3,3,4,1	11	2692	reentrant polygon clipping	True
22	tfidf	False	True	cosine	3,3,4,1	12	2809	positivity and norms	False
22	tfidf	False	True	cosine	3,3,4,1	13	2924	an interactive computer graphics approach to surface representation	False
22	tfidf	False	True	cosine	3,3,4,1	14	2369	hidden lines elimination for a rotating object	True
22	tfidf	False	True	cosine	3,3,4,1	15	2211	scanned-display computer graphics	False
22	tfidf	False	True	cosine	3,3,4,1	16	2188	an approach to the optimum design of computer graphics systems	False
22	tfidf	False	True	cosine	3,3,4,1	17	3049	a simply extended and modified batch environment graphical system ( sembegs )	False
22	tfidf	False	True	cosine	3,3,4,1	18	2152	display procedures	False
22	tfidf	False	True	cosine	3,3,4,1	19	2674	scan conversion algorithms for a cell organized raster display	False
22	tfidf	False	True	cosine	3,3,4,1	20	2004	a procedure for generation of three-dimensional half-toned computer graphics presentations	False
